source,target,value,,,,event_type,,race,sex,cancer_type
Male,Stomach,2.6,,,,,,,,
Female,Stomach,0.2,,,,,,,,
Female,Stomach,0.4,,,,,,,,
Female,Stomach,1,,,,,,,,
Female,Stomach,1.6,,,,,,,,
Female,Stomach,2.8,,,,,,,,
Female,Stomach,3.3,,,,,,,,
Male,Stomach,0.2,,,,,,,,
Male,Stomach,0.4,,,,,,,,
Male,Stomach,1.1,,,,,,,,
Male,Stomach,1.9,,,,,,,,
Male,Stomach,3.5,,,,,,,,
Male,Stomach,5.7,,,,,,,,
Female,Thyroid,0.2,,,,,,,,
Male,Thyroid,0.2,,,,,,,,
Male,Thyroid,0.2,,,,,,,,
Female,Thyroid,1.1,,,,,,,,
Female,Thyroid,4.3,,,,,,,,
Female,Thyroid,8.9,,,,,,,,
Female,Thyroid,17.3,,,,,,,,
Female,Thyroid,25.8,,,,,,,,
Female,Thyroid,30.1,,,,,,,,
Female,Thyroid,32.5,,,,,,,,
Female,Thyroid,33.6,,,,,,,,
Male,Thyroid,0.3,,,,,,,,
Male,Thyroid,0.9,,,,,,,,
Male,Thyroid,1.8,,,,,,,,
Male,Thyroid,3,,,,,,,,
Male,Thyroid,4.7,,,,,,,,
Male,Thyroid,7.1,,,,,,,,
Male,Thyroid,8.1,,,,,,,,
Male,Thyroid,9.9,,,,,,,,
Female,Brain and Other Nervous System,0.6,,,,,,,,
Female,Brain and Other Nervous System,0.5,,,,,,,,
Female,Brain and Other Nervous System,0.5,,,,,,,,
Female,Brain and Other Nervous System,0.4,,,,,,,,
Female,Brain and Other Nervous System,0.6,,,,,,,,
Female,Brain and Other Nervous System,1,,,,,,,,
Female,Brain and Other Nervous System,1.2,,,,,,,,
Female,Brain and Other Nervous System,1.8,,,,,,,,
Female,Brain and Other Nervous System,2.8,,,,,,,,
Female,Brain and Other Nervous System,0.9,,,,,,,,
Male,Brain and Other Nervous System,0.5,,,,,,,,
Male,Brain and Other Nervous System,0.6,,,,,,,,
Male,Brain and Other Nervous System,0.6,,,,,,,,
Male,Brain and Other Nervous System,0.7,,,,,,,,
Male,Brain and Other Nervous System,1,,,,,,,,
Male,Brain and Other Nervous System,1.5,,,,,,,,
Male,Brain and Other Nervous System,2.2,,,,,,,,
Male,Brain and Other Nervous System,3,,,,,,,,
Male,Brain and Other Nervous System,4.2,,,,,,,,
Male,Brain and Other Nervous System,1,,,,,,,,
Female,Brain and Other Nervous System,3.9,,,,,,,,
Female,Brain and Other Nervous System,2.9,,,,,,,,
Female,Brain and Other Nervous System,1.8,,,,,,,,
Female,Brain and Other Nervous System,1.9,,,,,,,,
Female,Brain and Other Nervous System,3,,,,,,,,
Female,Brain and Other Nervous System,3.1,,,,,,,,
Female,Brain and Other Nervous System,3.2,,,,,,,,
Female,Brain and Other Nervous System,3.5,,,,,,,,
Female,Brain and Other Nervous System,4.8,,,,,,,,
Female,Brain and Other Nervous System,3.2,,,,,,,,
Male,Brain and Other Nervous System,4.5,,,,,,,,
Male,Brain and Other Nervous System,2.6,,,,,,,,
Male,Brain and Other Nervous System,2.4,,,,,,,,
Male,Brain and Other Nervous System,2.6,,,,,,,,
Male,Brain and Other Nervous System,3.3,,,,,,,,
Male,Brain and Other Nervous System,3.9,,,,,,,,
Male,Brain and Other Nervous System,4.2,,,,,,,,
Male,Brain and Other Nervous System,5.4,,,,,,,,
Male,Brain and Other Nervous System,6.8,,,,,,,,
Male,Brain and Other Nervous System,3.8,,,,,,,,
Female,Brain and Other Nervous System,0.5,,,,,,,,
Female,Brain and Other Nervous System,0.6,,,,,,,,
Female,Brain and Other Nervous System,0.4,,,,,,,,
Female,Brain and Other Nervous System,0.4,,,,,,,,
Female,Brain and Other Nervous System,0.5,,,,,,,,
Female,Brain and Other Nervous System,0.9,,,,,,,,
Female,Brain and Other Nervous System,1.2,,,,,,,,
Female,Brain and Other Nervous System,1.4,,,,,,,,
Female,Brain and Other Nervous System,2.8,,,,,,,,
Female,Brain and Other Nervous System,0.8,,,,,,,,
Male,Brain and Other Nervous System,0.7,,,,,,,,
Male,Brain and Other Nervous System,0.6,,,,,,,,
Male,Brain and Other Nervous System,0.4,,,,,,,,
Male,Brain and Other Nervous System,0.6,,,,,,,,
Male,Brain and Other Nervous System,0.9,,,,,,,,
Male,Brain and Other Nervous System,1.3,,,,,,,,
Male,Brain and Other Nervous System,2.1,,,,,,,,
Male,Brain and Other Nervous System,2.9,,,,,,,,
Male,Brain and Other Nervous System,4.2,,,,,,,,
Male,Brain and Other Nervous System,0.9,,,,,,,,
Female,Brain and Other Nervous System,4.3,,,,,,,,
Female,Brain and Other Nervous System,2.6,,,,,,,,
Female,Brain and Other Nervous System,1.7,,,,,,,,
Female,Brain and Other Nervous System,2,,,,,,,,
Female,Brain and Other Nervous System,2.6,,,,,,,,
Female,Brain and Other Nervous System,2.9,,,,,,,,
Female,Brain and Other Nervous System,2.6,,,,,,,,
Female,Brain and Other Nervous System,3.7,,,,,,,,
Female,Brain and Other Nervous System,4.9,,,,,,,,
Female,Brain and Other Nervous System,3.3,,,,,,,,
Male,Brain and Other Nervous System,4.6,,,,,,,,
Male,Brain and Other Nervous System,2.9,,,,,,,,
Male,Brain and Other Nervous System,2.3,,,,,,,,
Male,Brain and Other Nervous System,2.4,,,,,,,,
Male,Brain and Other Nervous System,3.2,,,,,,,,
Male,Brain and Other Nervous System,3.8,,,,,,,,
Male,Brain and Other Nervous System,4.5,,,,,,,,
Male,Brain and Other Nervous System,5.2,,,,,,,,
Male,Brain and Other Nervous System,7.2,,,,,,,,
Male,Brain and Other Nervous System,3.5,,,,,,,,
Female,Liver and Intrahepatic Bile Duct,0.2,,,,,,,,
Female,Liver and Intrahepatic Bile Duct,0.2,,,,,,,,
Female,Liver and Intrahepatic Bile Duct,0.3,,,,,,,,
Female,Liver and Intrahepatic Bile Duct,0.6,,,,,,,,
Female,Liver and Intrahepatic Bile Duct,1.5,,,,,,,,
Male,Liver and Intrahepatic Bile Duct,0.2,,,,,,,,
Male,Liver and Intrahepatic Bile Duct,0.3,,,,,,,,
Male,Liver and Intrahepatic Bile Duct,0.7,,,,,,,,
Male,Liver and Intrahepatic Bile Duct,1.7,,,,,,,,
Male,Liver and Intrahepatic Bile Duct,5.1,,,,,,,,
Female,Liver and Intrahepatic Bile Duct,0.3,,,,,,,,
Female,Liver and Intrahepatic Bile Duct,0.2,,,,,,,,
Female,Liver and Intrahepatic Bile Duct,0.2,,,,,,,,
Female,Liver and Intrahepatic Bile Duct,0.3,,,,,,,,
Female,Liver and Intrahepatic Bile Duct,0.5,,,,,,,,
Female,Liver and Intrahepatic Bile Duct,0.5,,,,,,,,
Female,Liver and Intrahepatic Bile Duct,1.1,,,,,,,,
Female,Liver and Intrahepatic Bile Duct,2.4,,,,,,,,
Male,Liver and Intrahepatic Bile Duct,0.7,,,,,,,,
Male,Liver and Intrahepatic Bile Duct,0.3,,,,,,,,
Male,Liver and Intrahepatic Bile Duct,0.3,,,,,,,,
Male,Liver and Intrahepatic Bile Duct,0.5,,,,,,,,
Male,Liver and Intrahepatic Bile Duct,1.1,,,,,,,,
Male,Liver and Intrahepatic Bile Duct,2.6,,,,,,,,
Male,Liver and Intrahepatic Bile Duct,8.9,,,,,,,,
Female,Liver and Intrahepatic Bile Duct,0.2,,,,,,,,
Female,Liver and Intrahepatic Bile Duct,0.3,,,,,,,,
Female,Liver and Intrahepatic Bile Duct,0.7,,,,,,,,
Female,Liver and Intrahepatic Bile Duct,1.7,,,,,,,,
Male,Liver and Intrahepatic Bile Duct,0.2,,,,,,,,
Male,Liver and Intrahepatic Bile Duct,0.4,,,,,,,,
Male,Liver and Intrahepatic Bile Duct,0.6,,,,,,,,
Male,Liver and Intrahepatic Bile Duct,1.5,,,,,,,,
Male,Liver and Intrahepatic Bile Duct,4.6,,,,,,,,
Female,Liver and Intrahepatic Bile Duct,0.3,,,,,,,,
Female,Liver and Intrahepatic Bile Duct,0.2,,,,,,,,
Female,Liver and Intrahepatic Bile Duct,0.2,,,,,,,,
Female,Liver and Intrahepatic Bile Duct,0.2,,,,,,,,
Female,Liver and Intrahepatic Bile Duct,0.4,,,,,,,,
Female,Liver and Intrahepatic Bile Duct,0.4,,,,,,,,
Female,Liver and Intrahepatic Bile Duct,1,,,,,,,,
Female,Liver and Intrahepatic Bile Duct,2.4,,,,,,,,
Male,Liver and Intrahepatic Bile Duct,0.9,,,,,,,,
Male,Liver and Intrahepatic Bile Duct,0.1,,,,,,,,
Male,Liver and Intrahepatic Bile Duct,0.2,,,,,,,,
Male,Liver and Intrahepatic Bile Duct,0.3,,,,,,,,
Male,Liver and Intrahepatic Bile Duct,0.6,,,,,,,,
Male,Liver and Intrahepatic Bile Duct,1,,,,,,,,
Male,Liver and Intrahepatic Bile Duct,2.3,,,,,,,,
Male,Liver and Intrahepatic Bile Duct,7.4,,,,,,,,
